PD-173074,Bicalutamide,Embelin,5-Fluorouracil,KIN001-055,MS-275,Shikonin,Imatinib,Vorinostat,Temozolomide,Mitomycin C,Cytarabine,Phenformin,Camptothecin,Doxorubicin,Etoposide,NSC-207895,Gemcitabine,AICAR,S-Trityl-L-cysteine,Bexarotene,Cisplatin,NSC-87877,SN-38,Gefitinib,CEP-701,Methotrexate,Docetaxel,BIRB 0796,Tipifarnib,SB 216763,LY317615,Erlotinib,Lapatinib,Sorafenib,Lenalidomide,Elesclomol,Bortezomib,Cyclopamine,ATRA,Thapsigargin,T0901317,Epothilone B,MG-132,IPA-3,DMOG,piperlongumine,Nilotinib,STF-62247,CCT018159,Tubastatin A,CCT007093,Tamoxifen,FTI-277,Dasatinib,FH535,QS11,EX-527,KU-55933,Bryostatin 1,AS605240,Vinorelbine,GNF-2,Bosutinib,Sunitinib,PD-0332991,Bleomycin,Bleomycin (50 uM),Salubrinal,LAQ824,EKB-569,Axitinib,Ispinesib Mesylate,17-AAG,Vinblastine,PIK-93,FK866,Temsirolimus,CI-1040,Belinostat,AR-42,Parthenolide,RO-3306,A-770041,Y-39983,BMS345541,PD-0325901,Midostaurin,SB 505124,(5Z)-7-Oxozeaenol,OSI-930,CP724714,PI-103,TPCA-1,TGX221,Zibotentan,Tivozanib,ZM-447439,AG-014699,EHT 1864,GW 441756,TAK-715,CHIR-99021,YM201636,SB52334,OSU-03012,Masitinib,BX-795,AS601245,Pazopanib,selumetinib,Afatinib,BAY 61-3606,Saracatinib,VX-702,681640,SL 0101-1,PHA-665752,AZD7762,YM155,MP470,NU-7441,AT-7519,GSK429286A,Obatoclax Mesylate,Nutlin-3a (-),TW 37,Linifanib,FR-180204,JNJ-26854165,GW-2580,JNK Inhibitor VIII,CAL-101,Crizotinib,KIN001-135,VX-11e,Linsitinib,ZSTK474,AMG-706,AZ628,Trametinib,PF-562271,BX-912,WH-4-023,Veliparib,BEZ235,TAE684,GSK269962A,CMK,MLN4924,TG101348,GSK690693,BHG712,Z-LLNle-CHO,GDC0941,BMS-509744,OSI-027,Olaparib,PLX4720,CUDC-101,SNX-2112,GDC0449,BMS-754807,AP-24534,AC220,VNLG/124,CAY10603,Navitoclax,GSK-650394,XL-184,GSK1904529A,Ruxolitinib,GSK2126458,MPS-1-IN-1,JNK-9L,CX-5461,AZD8055,Foretinib,AZD6482,KIN001-266,RDEA119,Dabrafenib,CP466722,YK 4-279,PHA-793887,UNC0638,XMD8-92,XMD8-85,BMS-708163,GSK1070916,JQ1,MK-2206,I-BET-762,CH5424802,WZ-1-84,JW-7-52-1,HG-6-64-1,NG-25,LFM-A13,IOX2,SGC0946,KIN001-244,UNC1215,ZG-10,KIN001-270,PFI-1,QL-XII-47,QL-X-138,Cetuximab,AKT inhibitor VIII,XAV939,PAC-1,SB590885,BMS-536924,KIN001-260,AUY922,Talazoparib,BIX02189
CPSF6,GJB3,AHNAK,COL1A2,GJB3,ADPGK,ADPGK,ASPH,POLR2A,CTTN,VIM,LTBP1,AHNAK,COL7A1,EVPL,COL3A1,MUC1,CPSF6,MYC,ADPGK,MAL2,AHNAK,GJB3,GJB3,COL8A1,CTTN,COL1A2,CPSF6,COL1A2,SPARC,COL8A1,MUC1,SPARC,GJB3,GJB3,GJB3,MUC1,ANP32B,COL7A1,SFPQ,CNKSR1,GJB3,JUP,MCAM,LTBP3,ESRP2,CPSF6,MAL2,GJB3,GJB3,AHNAK,GJB3,CTTN,COL1A2,ESRP2,ENO2,DBN1,CTTN,VIM,MUC1,CTTN,MAL2,GJB3,JUP,ESRP2,GJB3,LTBP1,COL7A1,KRT7,AHNAK,AHNAK,CPSF6,AHNAK,COL1A2,AHNAK,CALD1,COL1A2,COL8A1,GJB3,AHNAK,COL1A2,SPARC,MYC,GJB3,GJB3,COL1A2,GJB3,LINC01089,GJB3,FBLN1,COL1A2,ANKRD36,COL1A2,POLR2A,MAL2,GJB3,GJB3,CPSF6,GJB3,ITM2C,GJB3,MYC,GJB3,POLR2A,GJB3,SPARC,GJB3,COL8A1,CTTN,MUC1,GJB3,COL1A2,ASPH,KRT7,COL7A1,GJB3,AHNAK,GJB3,MUC1,MUC1,COL1A2,MUC1,COL1A2,CPSF6,CTTN,COL6A2,MUC1,MUC1,CPSF6,CPSF6,GJB3,COL1A2,JUP,COL7A1,MAL2,GJB3,GJB3,MYC,COL1A2,JUP,CPSF6,MAL2,COL1A2,ADPGK,MYC,CRIM1,ESRP2,COL8A1,GJB3,CALD1,COL1A2,GJB3,MUC1,SPARC,LTBP3,CALD1,COL1A2,ESRP2,MAL2,AHNAK,AHNAK,SPARC,GJB3,SPARC,CRIM1,COL7A1,COL1A2,GJB3,MAL2,SPARC,CALD1,VIM,GJB3,CALD1,ADPGK,GJB3,POLR2A,COL7A1,COL7A1,PEA15,COL8A1,CPSF6,POLR2A,CPSF6,COL1A2,AHNAK,SPARC,CTTN,AHNAK,PTMS,ENO2,CALD1,COL1A2,MGAT4B,CPSF6,SPARC,MUC1,ANXA2,MUC1,COL1A2,GJB3,GJB3,MUC1,ADPGK,GJB3,GJB3,MUC1,GJB3,COL1A2,AHNAK,COL1A2,LTBP3,CPSF6,PSMD2,CALD1,COL18A1,GJB3,AHNAK
LTBP3,CPSF6,JUP,POLR2A,POLR2A,SPARC,KRT19,MAL2,COL1A2,CPSF6,JUP,COL18A1,GJB3,LINC01089,MAL2,FBLN1,MYC,MYC,CPSF6,SPARC,LINC01089,MYC,CPSF6,LTBP1,GJB3,CPSF6,AHNAK,ASPH,CALD1,LTBP1,GJB3,CPSF6,CALD1,CPSF6,CTTN,MAL2,LINC01089,CPSF6,SFPQ,COL7A1,MCAM,PTMS,MYC,CALD1,JUP,MAL2,LTBP1,KRT7,MYC,SPARC,CALD1,MYC,GJB3,CALD1,LTBP1,SPARC,GJB3,JUP,GJB3,MYC,CPSF6,KRT7,MAL2,SPARC,CNKSR1,SPARC,ESRP2,MUC1,MAL2,CALD1,MUC1,CTTN,CALD1,CPSF6,KRT7,AHNAK,CALD1,COL7A1,MUC1,COL1A2,CALD1,CNKSR1,COL8A1,MAL2,MUC1,AHNAK,MYC,MAL2,CPSF6,MAL2,CALD1,ESRP2,CALD1,AHNAK,CTTN,MUC1,CTTN,MYC,MUC1,FAT1,MYC,PTMS,MYC,CALD1,MYC,ANKRD36,ANXA2,LINC01089,MYC,AHNAK,MYC,MYC,GJB3,GJB3,JUP,POLR2A,CPSF6,MAL2,GJB3,MYC,AHNAK,MYC,CALD1,MUC1,CPSF6,MCAM,COL8A1,MYC,COL7A1,CTTN,MUC1,CALD1,CPSF6,GJB3,POLR2A,MUC1,VIM,MUC1,CALD1,LTBP3,LINC01089,POLR2A,AHNAK,COL7A1,COL7A1,MYC,ANKRD36,GJB3,CPSF6,CNKSR1,CALD1,MYC,AHNAK,ESRP2,GJB3,COL7A1,CALD1,DBN1,POLR2A,CALD1,CALD1,DCBLD2,MAL2,ESRP2,CPSF6,JUP,CALD1,MUC1,POLR2A,LTBP1,COL1A2,EFEMP1,MYC,AHNAK,SPARC,MYC,CALD1,KRT7,GJB3,CUX1,GJB3,MYC,CALD1,CNKSR1,CALD1,CALD1,CALD1,ANP32B,MUC1,MYC,SFPQ,SFPQ,CALD1,MAL2,COL7A1,ANP32B,MYC,POLR2A,MYC,CALD1,MYC,MYC,AHNAK,LTBP1,CPSF6,CPSF6,MYC,MYC,CALD1,COL1A2,AHNAK,CTTN,MYC,CENPQ,GJB3,LTBP1,COL8A1,MUC1
COL7A1,MYC,COL7A1,CALD1,CPSF6,COL7A1,CALD1,KRT7,CALD1,AHNAK,MYC,ADPGK,MYC,GJB3,JUP,COL6A2,CPSF6,CTTN,MUC1,COL7A1,GJB3,MUC1,MYC,DBN1,MYC,MYC,CALD1,MUC1,GJB3,CALD1,MYC,CTTN,ESRP2,MYC,KRT7,CPSF6,GJB3,COL7A1,MCAM,MCAM,COL3A1,MYC,ASPH,COL3A1,CPSF6,JUP,FBLN1,EVPL,CPSF6,LTBP1,GJB3,MUC1,CPSF6,GJB3,CPSF6,SFPQ,COL7A1,LTBP3,MAL2,CPSF6,MYC,JUP,JUP,ESRP2,ANKRD36,JUP,CPSF6,COL5A2,JUP,POLR2A,MYC,AHNAK,POLR2A,MYC,ESRP2,GJB3,POLR2A,MYC,CPSF6,CALD1,POLR2A,SFPQ,GJB3,CPSF6,ANXA2,MEF2D,COL8A1,GJB3,MYC,EVPL,AHNAK,COL3A1,AHNAK,CALD1,CPSF6,MYC,CPSF6,CTTN,COL7A1,GORASP2,CPSF6,GJB3,COL7A1,AHNAK,CPSF6,LTBP1,AHNAK,GJB3,CPSF6,MYC,COL8A1,CPSF6,EVPL,COL18A1,SFPQ,MUC1,CTTN,CPSF6,LINC01089,AHNAK,CALD1,AHNAK,AHNAK,CTTN,MAL2,COL3A1,MYC,AHNAK,GJB3,MYC,MYC,POLR2A,MGAT4B,CPSF6,CPSF6,MYC,MAL2,AHNAK,COL8A1,COL7A1,GJB3,CPSF6,CALD1,SPARC,JUP,JUP,CNKSR1,MYC,COL7A1,ANKRD36,GJB3,MUC1,MYC,ENO2,CPSF6,SPARC,GJB3,LTBP3,CPSF6,POLR2A,POLR2A,ANKRD36,CPSF6,CALD1,MAL2,LTBP3,POLR2A,MYC,COL7A1,CALD1,COL8A1,SPNS2,MUC1,POLR2A,COL7A1,MUC1,GJB3,JUP,LINC01089,FASN,CPSF6,AHNAK,AHNAK,ENO2,POLR2A,GJB3,LTBP1,ASPH,CPSF6,GJB3,MCAM,JUP,POLR2A,CPSF6,DBN1,CALD1,AHNAK,GJB3,AHNAK,POLR2A,COL8A1,MUC1,CPSF6,CPSF6,MYC,MYC,AHNAK,MUC1,POLR2A,CALD1,CALD1,CPSF6,CTTN,FUBP3,AHNAK,GJB3,LINC01089,MYC
MAL2,MUC1,ESRP2,GJB3,MYC,SFPQ,ANKRD36,JUP,MEF2D,MYC,COL7A1,SFPQ,MUC1,MYC,COL7A1,ACTB,AHNAK,AHNAK,COL8A1,CPSF6,ESRP2,CPSF6,AHNAK,LINC01089,CPSF6,COL8A1,MEF2D,COL5A2,MYC,ANKRD36,CPSF6,MYC,MAL2,POLR2A,CPSF6,JUP,ESRP2,SPARC,CPSF6,LTBP1,ANKRD36,MUC1,COL7A1,CNKSR1,CTTN,LINC01089,ESRP2,DCBLD2,JUP,GSE1,MYC,CPSF6,MAL2,MYC,SPARC,COL7A1,SPARC,MAL2,CPSF6,COL8A1,AHNAK,ASPH,CPSF6,SFPQ,SPARC,DBN1,SFPQ,GJB3,EVPL,GJB3,CPSF6,MYC,GJB3,MUC1,EVPL,MYC,GJB3,LINC01089,MYC,MEF2D,MEF2D,MCAM,CPSF6,VIM,MYC,CALD1,PTMS,ESRP2,JUP,MGAT4B,GJB3,CALD1,MEF2D,GJB3,JUP,POLR2A,MAL2,JUP,LINC01089,ILRUN,CTTN,COL8A1,LINC01089,GJB3,MUC1,MAL2,MUC1,MYC,AHNAK,CPSF6,CPSF6,GJB3,MAL2,EVPL,SPARC,MYC,MYC,MYC,MYC,CPSF6,MEF2D,CPSF6,MEF2D,MYC,VIM,CALD1,CRIM1,CPSF6,SPARC,AHNAK,CPSF6,MEF2D,CRIM1,ENO2,JUP,CPSF6,CPSF6,CPSF6,GJB3,MAL2,MUC1,MYC,MEF2D,CPSF6,GSE1,AHNAK,ADPGK,CPSF6,SPARC,SPARC,MYC,CPSF6,PTMS,MAL2,MAL2,LTBP1,POLR2A,LTBP1,MYC,GJB3,GJB3,LTBP1,MYC,ANKRD36,KRT7,DBN1,GJB3,CPSF6,EVPL,ANKRD36,GJB3,FASN,ANXA2,GJB3,CPSF6,CPSF6,MYC,GSE1,MYC,VIM,MYC,CTTN,GJB3,LINC01089,GJB3,MYC,ANKRD36,EVPL,MYC,ANXA2,CPSF6,LTBP1,GJB3,EVPL,LTBP3,DCBLD2,CPSF6,MYC,CPSF6,MEF2D,MUC1,CPSF6,MYC,SPARC,JUP,AHNAK,CPSF6,CPSF6,COL8A1,MEF2D,MEF2D,KRT7,POLR2A,LTBP4,POLR2A,SPARC,ESRP2,CPSF6
ESRP2,COL8A1,GSE1,MEF2D,JUP,MCAM,DCBLD2,CRIM1,COL8A1,JUP,ASPH,SPARC,CPSF6,GSE1,MGAT4B,ANKRD36,JUP,JUP,CTTN,ESRP2,GSE1,PTMS,JUP,SPARC,MUC1,MUC1,GJB3,GJB3,COL8A1,ESRP2,MUC1,COL8A1,LTBP1,JUP,MAL2,MYC,GSE1,ESRP2,LTBP1,SPARC,ESRP2,CPSF6,GSE1,ANKRD36,KRT7,SPARC,GJB3,CALD1,AHNAK,JUP,COL8A1,COL8A1,KRT7,POLR2A,SFPQ,MCAM,ESRP2,CPSF6,JUP,CTTN,JUP,MYC,VIM,MCAM,CPSF6,GSE1,MCAM,MYC,COL7A1,MYC,JUP,JUP,MEF2D,GJB3,LINC01089,POLR2A,MEF2D,GSE1,PSAP,GJB3,GJB3,DCBLD2,MUC1,JUP,AHNAK,GJB3,CPSF6,LTBP1,POLR2A,ESRP2,MYC,SFPQ,GJB3,MEF2D,VIM,CPSF6,JUP,AHNAK,CRIM1,FASN,COL8A1,ANXA2,GSE1,MEF2D,COL8A1,ESRP2,MYC,ESRP2,GSE1,JUP,MUC1,COL5A2,CPSF6,CPSF6,MCAM,JUP,JUP,JUP,GSE1,JUP,GJB3,JUP,GJB3,COL8A1,JUP,ESRP2,GSE1,JUP,ESRP2,JUP,GSE1,COL8A1,LTBP3,ADPGK,MYC,GSE1,JUP,JUP,MYC,ESRP2,COL7A1,JUP,GJB3,LTBP1,ESRP2,GSE1,POLR2A,MUC1,ESRP2,CPSF6,COL8A1,COL8A1,CPSF6,GSE1,KRT7,ESRP2,MYC,SPARC,JUP,MYC,MYC,SFPQ,JUP,ADPGK,JUP,ESRP2,MYC,COL8A1,JUP,ESRP2,MYC,ENO2,POLR2A,MYC,ESRP2,PSAP,AHNAK,ESRP2,GSE1,DCBLD2,MUC1,JUP,MEF2D,SPARC,MYC,POLR2A,DCBLD2,MAL2,JUP,COL8A1,ESRP2,ANKRD36,MYC,CRIM1,SPARC,ESRP2,JUP,MUC1,JUP,GJB3,CPSF6,COL8A1,JUP,ANKRD36,AHNAK,JUP,JUP,COL8A1,MEF2D,GJB3,GJB3,JUP,JUP,SPNS2,MYC,ADPGK,MYC,JUP
SPARC,GSE1,KRT7,MYC,GSE1,LTBP1,ESRP2,COL7A1,GJB3,GSE1,POLR2A,ENO2,ANXA2,ESRP2,ESRP2,CALD1,PTMS,GSE1,PSAP,SFPQ,LTBP1,JUP,GSE1,GSE1,PSAP,GSE1,MYC,MYC,CPSF6,MAL2,GSE1,GSE1,ANKRD36,GSE1,JUP,GSE1,MYC,GSE1,ESRP2,CPSF6,PLOD1,PSAP,VIM,ESRP2,MAL2,MYC,EVPL,GJB3,GSE1,DBN1,CPSF6,GSE1,JUP,COL8A1,ANKRD36,CPSF6,MAL2,KRT7,KRT7,GSE1,GSE1,COL7A1,MYC,CNKSR1,SFPQ,LTBP3,SPARC,ASPH,ASPH,MEF2D,PTMS,GSE1,MYC,COL5A2,GSE1,MUC1,COL8A1,ESRP2,COL8A1,MYC,MYC,ESRP2,GSE1,MYC,CPSF6,MYC,MUC1,GSE1,GSE1,GJB3,MEF2D,PLOD1,MYC,MYC,MYC,JUP,KRT7,GSE1,COL5A2,MCAM,GSE1,MUC1,ASPH,MYC,GSE1,SFPQ,CPSF6,GSE1,JUP,GSE1,PSAP,MUC1,PTMS,MAL2,CPSF6,CPSF6,COL8A1,PTMS,ESRP2,PTMS,MYC,GSE1,MYC,GSE1,MYC,ACTB,PSAP,GSE1,ADPGK,GSE1,COL8A1,GJB3,CTTN,SPARC,KRT7,COL8A1,MYC,GSE1,CPSF6,SPARC,COL5A2,GSE1,MYC,ESRP2,EVPL,ESRP2,FKBP10,PSAP,ADPGK,COL3A1,POLR2A,PSAP,JUP,LTBP1,JUP,ANKRD36,MEF2D,JUP,GSE1,MEF2D,MEF2D,MCAM,PTMS,CNKSR1,CTTN,MAL2,MEF2D,PSAP,MYC,DCBLD2,CPSF6,AATF,AHNAK,MEF2D,GJB3,PTMS,MUC1,EVPL,ESRP2,ENO2,PSAP,GSE1,MYC,ANKRD36,COL8A1,MUC1,ESRP2,CPSF6,GSE1,CPSF6,JUP,MCAM,MEF2D,ASPH,MAL2,GJB3,GSE1,AHNAK,GSE1,COL8A1,PSAP,GSE1,GSE1,CNKSR1,GSE1,GSE1,GSE1,GSE1,MYC,MYC,MYC,MAL2,GSE1,WDR5,MUC1,ENO2,EVPL,GSE1
GSE1,PSAP,EVPL,COL8A1,KRT7,CPSF6,CNKSR1,CTTN,MYC,COL8A1,GSE1,CNKSR1,JUP,PSAP,SPARC,PLOD1,GSE1,COL7A1,GSE1,GJB3,MYC,GSE1,COL8A1,CNKSR1,PTMS,PSAP,COL8A1,CRIM1,MUC1,ADPGK,PSAP,JUP,ANP32B,AHNAK,EVPL,KRT7,LTBP1,COL18A1,SPARC,ESRP2,SPARC,COL8A1,CRIM1,ACTB,COL7A1,GSE1,GSE1,COL18A1,PSAP,LINC01089,MUC1,PSAP,MYC,CPSF6,MCAM,ESRP2,ENO2,EVPL,MYC,PSAP,COL8A1,CRIM1,KRT7,DCBLD2,MCAM,LTBP1,CNKSR1,ESRP2,GSE1,COL8A1,GSE1,PSAP,CPSF6,LINC01089,MYC,CPSF6,MYC,PSAP,GSE1,COL8A1,COL8A1,JUP,PSAP,KRT7,JUP,COL8A1,PSAP,EVPL,AHNAK,GSE1,MUC1,SPARC,CPSF6,COL8A1,KRT7,AHNAK,MYC,COL7A1,MYC,TSPYL2,JUP,CPSF6,ESRP2,CPSF6,PSAP,CALD1,JUP,PSAP,COL8A1,PSAP,GSE1,GSE1,MEF2D,PTMS,ESRP2,GSE1,GSE1,GSE1,COL5A2,GSE1,CPSF6,PSAP,CPSF6,PSAP,KRT7,ANKRD36,LINC01089,PTMS,ENO2,COL7A1,PSAP,MYC,COL7A1,ESRP2,GSE1,JUP,KRT7,PSAP,POLR2A,GSE1,MYC,PTMS,CPSF6,SFPQ,ASPH,COL7A1,CPSF6,GSE1,ENO2,SFPQ,MEF2D,GSE1,GSE1,CPSF6,MYC,SFPQ,COL8A1,GSE1,KRT7,CPSF6,CPSF6,ESRP2,VIM,FKBP10,COL7A1,SPARC,COL8A1,GSE1,GSE1,SFPQ,MUC1,LTBP4,CPSF6,MUC1,SFPQ,COL8A1,MEF2D,AHNAK,PSAP,CENPQ,GSE1,COL7A1,CPSF6,COL3A1,MEF2D,CPSF6,SFPQ,LTBP3,PSAP,MUC1,LTBP1,SPARC,COL8A1,CTTN,MGAT4B,LTBP1,PTMS,CPSF6,PSAP,MYC,GSE1,PSAP,COL8A1,SFPQ,ESRP2,COL8A1,PSAP,PSAP,GJB3,COL8A1,COL8A1,EVPL,KRT7,ENO2,CPSF6,ANKRD36,GSE1,PSAP
DBN1,JUP,COL8A1,CPSF6,COL7A1,ANKRD36,FKBP10,EVPL,CPSF6,PSAP,CRIM1,GJB3,COL8A1,LTBP1,GSE1,ESRP2,PSAP,ESRP2,COL7A1,MCAM,EVPL,COL8A1,PSAP,LTBP3,GSE1,LINC01089,CPSF6,ESRP2,PSAP,GSE1,COL5A2,PSAP,GSE1,KRT7,COL7A1,VIM,EVPL,DBN1,COL3A1,COL3A1,CALD1,ANXA2,POLR2A,PLOD1,EVPL,LTBP1,MYC,LTBP3,ESRP2,LTBP3,POLR2A,JUP,COL7A1,MEF2D,CNKSR1,GJB3,ADPGK,MYC,COL7A1,COL7A1,ESRP2,EVPL,COL7A1,KRT19,COL3A1,LINC01089,ANKRD36,GSE1,MYC,CPSF6,PSAP,COL7A1,COL8A1,COL7A1,SPARC,MEF2D,CPSF6,JUP,JUP,CPSF6,CPSF6,FKBP10,PTMS,GSE1,POLR2A,CPSF6,ANXA2,MYC,KRT7,MYC,CPSF6,FKBP10,MUC1,CPSF6,GSE1,GSE1,EVPL,ESRP2,GSE1,RHOA,PSAP,GSE1,PSAP,MUC1,JUP,CNKSR1,GSE1,EVPL,PSAP,COL8A1,PTMS,LINC01089,SPARC,SPARC,LTBP1,AHNAK,ESRP2,KRT7,PSAP,PSAP,MUC1,COL8A1,MUC1,COL7A1,GSE1,PLOD1,COL7A1,PSAP,SFPQ,ESRP2,JUP,CPSF6,MAL2,MAL2,VIM,PSAP,GSE1,COL8A1,MUC1,MGAT4B,CTTN,AHNAK,COL8A1,MCAM,AHNAK,CTTN,JUP,JUP,LTBP3,MCAM,CPSF6,JUP,PSAP,GJB3,COL7A1,MCAM,CPSF6,POLR2A,COL7A1,COL8A1,MUC1,CALD1,GSE1,CPSF6,MYC,MGAT4B,CPSF6,JUP,ESRP2,MCAM,GSE1,CENPQ,JUP,CPSF6,MCAM,GSE1,CPSF6,ASPH,COL5A2,LTBP4,COL5A2,PSAP,MUC1,ADPGK,CPSF6,COL8A1,MCAM,MGAT4B,COL8A1,GSE1,SPARC,ESRP2,CPSF6,COL7A1,CRIM1,ANKRD36,POLR2A,JUP,COL8A1,CPSF6,JUP,JUP,PSAP,MCAM,COL7A1,PSAP,COL8A1,JUP,CPSF6,CPSF6,CPSF6,MYC,COL7A1,CTSZ,MEF2D,SFPQ,KRT7,COL8A1
MYC,LINC01089,ASPH,MUC1,AHNAK,ESRP2,SFPQ,MYC,MUC1,ESRP2,EVPL,COL3A1,PSAP,EVPL,MYC,FKBP10,COL8A1,PSAP,LINC01089,LTBP1,PSAP,PSAP,ESRP2,JUP,ANXA2,COL7A1,MUC1,GSE1,POLR2A,FKBP10,LINC01089,ESRP2,GJB3,COL7A1,MYC,COL7A1,PSAP,LTBP3,ACTB,JUP,FKBP10,GSE1,ESRP2,CPSF6,MYC,AHNAK,COL5A2,ANXA2,KRT7,ANKRD36,GSE1,LINC01089,EVPL,MUC1,JUP,LTBP1,GSE1,ANP32B,GSE1,LINC01089,COL7A1,GSE1,GSE1,CALD1,PLOD1,POLR2A,COL3A1,PSAP,CRIM1,MUC1,COL8A1,COL8A1,MUC1,PSAP,JUP,COL8A1,MUC1,EVPL,COL7A1,MUC1,MUC1,COL3A1,JUP,COL7A1,GSE1,MUC1,GSE1,KRT7,COL7A1,KRT7,PSAP,CPSF6,COL8A1,MUC1,COL7A1,PSAP,COL7A1,KRT7,PSAP,SP1,ESRP2,PSAP,COL5A2,COL8A1,LINC01089,MCAM,PSAP,LTBP1,ESRP2,PTMS,ANXA2,PSAP,COL7A1,COL7A1,ANKRD36,PSAP,PSAP,AHNAK,LTBP1,COL8A1,COL8A1,PTMS,COL8A1,JUP,COL7A1,CPSF6,ESRP2,COL8A1,LTBP1,KRT7,LINC01089,MUC1,SPARC,ANP32B,COL7A1,PTMS,COL7A1,PTMS,MEF2D,DBN1,GSE1,KRT7,MUC1,ANKRD36,SPARC,KRT7,PLOD1,LINC01089,MAL2,FKBP10,MUC1,PTMS,COL8A1,FKBP10,EVPL,CPSF6,MUC1,MAL2,VIM,MUC1,COL8A1,CNKSR1,KRT7,COL3A1,EVPL,GSE1,MUC1,LINC01089,SPARC,CNKSR1,PSAP,HSP90AB1,GSE1,COL8A1,LTBP1,JUP,JUP,SPARC,LMNA,COL6A2,LINC01089,ESRP2,COL8A1,SFPQ,MUC1,PSAP,CNKSR1,COL7A1,COL7A1,PSAP,GJB3,CNKSR1,MUC1,ESRP2,ASPH,ADPGK,PSAP,GSE1,PTMS,MUC1,LMNA,PTMS,ESRP2,JUP,PSAP,ESRP2,ESRP2,PTMS,MUC1,MUC1,MUC1,COL7A1,VIM,SSBP1,COL8A1,JUP,LTBP1,PTMS
MGAT4B,COL7A1,SPARC,GSE1,ESRP2,GJB3,MCAM,GSE1,PSAP,COL7A1,ESRP2,ANKRD36,GSE1,KRT7,ASPH,CRIP2,ESRP2,COL8A1,JUP,ANKRD36,LMNA,ANXA2,COL7A1,FKBP10,JUP,JUP,PSAP,LTBP1,GSE1,CNKSR1,COL7A1,COL7A1,ADPGK,ESRP2,SPARC,PTMS,COL5A2,CTTN,ANKRD36,ANKRD36,ACTB,JUP,EVPL,FKBP10,SPARC,MGAT4B,LMNA,MGAT4B,POLR2A,CNKSR1,PSAP,COL7A1,GSE1,PSAP,COL3A1,ANP32B,LTBP3,ESRP2,EVPL,JUP,PSAP,CTTN,EVPL,PLOD1,FKBP10,MAL2,FKBP10,LTBP1,ESRP2,PSAP,ANXA2,ESRP2,PSAP,GSE1,COL8A1,JUP,PSAP,KRT7,LINC01089,PSAP,GSE1,CALD1,ANXA2,PTMS,PSAP,PSAP,JUP,PSAP,ESRP2,CNKSR1,GSE1,MCAM,PSAP,PSAP,SPARC,COL7A1,GSE1,PSAP,ESRP2,SPATS2L,COL7A1,JUP,CRIM1,PSAP,ESRP2,DCBLD2,POLR2A,KRT7,COL7A1,ESRP2,JUP,COL7A1,COL18A1,ESRP2,GJB3,ILF3,COL7A1,COL7A1,LMNA,ILF3,PSAP,ESRP2,JUP,LINC01089,EVPL,FKBP10,CTTN,ESRP2,GSE1,PSAP,COL7A1,PSAP,ESRP2,MCAM,ESRP2,ESRP2,PTMS,ESRP2,GSE1,MYC,PSAP,COL7A1,PSAP,GJB3,VIM,EVPL,LINC01089,COL5A2,MCAM,PLOD1,PSAP,LMNA,ANXA2,ANKRD36,GSE1,GJB3,PSAP,ADPGK,AHNAK,PSAP,PSAP,CPSF6,COL7A1,SFPQ,GSE1,ADPGK,GSE1,ESRP2,ASPH,FKBP10,POLR2A,DCBLD2,PSAP,GSE1,ANKRD36,ANXA2,PSAP,LINC01089,LTBP1,HSP90AB1,JUP,COL8A1,GSE1,PLOD1,PSAP,GSE1,FKBP10,ESRP2,LINC01089,JUP,ANKRD36,PLOD1,PSAP,MYC,ESRP2,GSE1,COL7A1,MEF2D,ESRP2,PSAP,LINC01089,ANXA2,COL7A1,FKBP10,KRT7,COL7A1,COL7A1,ANXA2,GSE1,PSAP,GSE1,GSE1,AHNAK,AATF,JUP,CNKSR1,PSAP,ESRP2
